A,B,f,ANAME,ANFOL,AFNAME,ADESCRIPTION,BNAME,BNFOL,BFNAME,BDESCRIPTION
33962372,1121856729787043842,19,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
1121856729787043842,33962372,19,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil"
1121856729787043842,901893722857766912,16,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
528890147,727425382169849856,16,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
727425382169849856,901893722857766912,15,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
727425382169849856,827151086733635584,15,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
3373762791,572122341,15,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
1121856729787043842,727425382169849856,14,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
727425382169849856,528890147,14,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi
827151086733635584,1121856729787043842,14,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
